English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Premiered Season,Premiered Year
Snow White with the Red Hair 2,7.97,"Drama, Fantasy, Romance",TV,"Hakusensha, Warner Bros. Japan, KlockWorx, Showgate",Bones,614.0,635,1685,191448.0,344400,73.99016493893616,winter,2016
Mr. Osomatsu,7.94,Comedy,TV,"TV Tokyo, Dentsu, Rakuonsha, Avex Pictures, Daiichi Shokai, Fujio Production",Pierrot,670.0,1307,3507,65246.0,168057,63.58749018741064,fall,2015
Uta no Prince Sama Legend Star,7.14,"Comedy, Romance",TV,"Broccoli, Movic, MAGES., Hakuhodo DY Music & Pictures, King Records",A-1 Pictures,3367.0,3253,216,14581.0,40709,48.13461232946627,fall,2016
Owarimonogatari,8.45,"Comedy, Mystery, Supernatural",TV,Aniplex,Shaft,145.0,448,2798,226461.0,461711,76.17079589030308,fall,2015
Cardfight!! Vanguard G GIRS Crisis,6.65,Action,TV,"TV Tokyo, Dentsu, Sotsu, Bushiroad",TMS Entertainment,5577.0,5926,20,5015.0,10514,37.172041716812764,fall,2015
SERVAMP,6.89,"Action, Supernatural",TV,"Frontier Works, Lantis, Kadokawa Shoten, AT-X, Sony Music Communications, Hakuhodo DY Music & Pictures, Yomiuri TV Enterprise, Adores, Heroz","Brain's Base, Platinum Vision",4452.0,816,1297,113255.0,275054,67.53232279701466,summer,2016
Re:ZERO -Starting Life in Another World-,8.23,"Drama, Fantasy, Suspense",TV,"TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures",White Fox,313.0,25,64834,1347571.0,2091729,93.09195233817611,spring,2016
Mobile Suit Gundam: Iron-Blooded Orphans,8.05,"Action, Drama, Sci-Fi",TV,"Sotsu, Asatsu DK, Mainichi Broadcasting System",Sunrise,523.0,975,3099,117032.0,229592,69.34670005008171,fall,2015
Comet Lucifer,5.84,"Action, Adventure, Fantasy",TV,"Bandai Visual, Lantis, Bushiroad, Good Smile Company, BS11, Sony PCL",8bit,9532.0,1872,91,44790.0,105556,57.00663921621743,fall,2015
Hundred,6.31,"Action, Romance, Sci-Fi, Ecchi",TV,"TV Tokyo, Sotsu, Half H.P Studio, AT-X, DIVE II Entertainment, Avex Pictures, BS Japan",Production IMS,7364.0,607,636,186428.0,358677,71.48517749246777,spring,2016
Drifters,7.9,"Action, Adventure, Comedy, Fantasy",TV,"Hoods Entertainment, NBCUniversal Entertainment Japan, Shounen Gahousha",Hoods Drifters Studio,720.0,372,3878,262325.0,543487,76.93839180038803,fall,2016
Attack on Titan: Junior High,7.2,Comedy,TV,"Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",Production I.G,3051.0,892,775,139358.0,251268,69.95347182844303,fall,2015
Flying Witch,7.51,"Slice of Life, Supernatural",TV,"VAP, Kodansha, Magic Capsule, Nippon Television Network, RAB Aomori Broadcasting, Nippon Television Music",J.C.Staff,1694.0,865,1303,104145.0,259046,67.55453588214668,spring,2016
And you thought there is never a girl online?,6.71,"Comedy, Romance, Ecchi",TV,"Sotsu, AT-X, Barnum Studio, DAX Production, ASCII Media Works, NBCUniversal Entertainment Japan, i0+, Medicos Entertainment, Radio Osaka",Project No.9,5301.0,393,1193,271033.0,519355,75.68062581213358,spring,2016
Joker Game,7.03,Drama,TV,"Frontier Works, Kadokawa Shoten, Movic, AT-X, Sony Music Communications, Hakuhodo DY Music & Pictures, Sammy",Production I.G,3887.0,1081,609,87136.0,207237,65.20129330011027,spring,2016
Rainbow Days,7.27,"Comedy, Romance",TV,"Tokuma Japan, Shueisha, Kyoraku Industrial Holdings, Yomiuri TV Enterprise",Production Reed,2665.0,992,698,96137.0,226052,66.47125272531548,winter,2016
Cute High Earth Defense Club LOVE! LOVE!,7.02,Comedy,TV,"Sotsu, Pony Canyon",Studio Comet,3893.0,3893,113,10799.0,28570,45.07982140377611,summer,2016
Minami Kamakura High School Girls Cycling Club,6.33,Sports,TV,"Genco, AT-X, Exit Tunes, Duckbill Entertainment, Shanghai Tiantan Culture & Media, NADA Holdings, My Theater D.D., Crunchyroll SC Anime Fund","J.C.Staff, A.C.G.T.",7222.0,4487,16,7529.0,20833,40.61002947061429,winter,2017
Zinba,6.5,"Action, Adventure, Comedy",TV,B.CMAY PICTURES,Alpha Animation,6366.0,11206,33,643.0,1649,17.173634278835223,summer,2013
Legend of the Galactic Heroes: Die Neue These,7.76,"Drama, Sci-Fi",TV,Shochiku,Production I.G,1002.0,2187,542,33230.0,81788,56.86911876258658,spring,2018
Wagamama High Spec,5.38,Comedy,TV,Hobi Animation,AXsiZ,11145.0,3619,31,13627.0,32949,44.75745454010947,spring,2016
Teekyu 6,6.54,Comedy,TV,"DAX Production, Earth Star Entertainment",Millepensee,6157.0,4873,11,9395.0,17176,43.0565415696718,fall,2015
Myriad Colors Phantom World,6.86,"Action, Comedy, Fantasy, Ecchi",TV,"Lantis, Pony Canyon, Asahi Broadcasting",Kyoto Animation,4594.0,390,1299,235564.0,524027,74.54283165224577,winter,2016
Norn9,6.55,"Adventure, Fantasy, Romance, Sci-Fi",TV,"Frontier Works, Sotsu, AT-X, NBCUniversal Entertainment Japan, Tokyo MX, i0+, famima.com, Hakuhodo DY Music & Pictures, Docomo Anime Store, TEAM Entertainment Inc., Chugai Mining, Medicos Entertainment, Toshiba Digital Frontiers","Kinema Citrus, Orange",6065.0,2123,271,31906.0,86699,54.8451021549188,winter,2016
Code:Realize ~Guardian of Rebirth~,6.66,"Fantasy, Romance",TV,"Frontier Works, Lantis, AT-X, DAX Production, Asmik Ace, Sony Music Communications, Hakuhodo DY Music & Pictures, Chugai Mining, Kadokawa",M.S.C,5512.0,2206,264,26002.0,81066,53.03497253333885,fall,2017
Bungo Stray Dogs,7.82,"Action, Mystery, Supernatural",TV,"Lantis, Movic, KlockWorx, Bandai Namco Live Creative, Glovision, Lawson HMV Entertainment, Sony PCL, Kadokawa",Bones,877.0,92,25238,657572.0,1300357,85.69017446065884,spring,2016
Pan de Peace!,5.64,"Comedy, Gourmet, Slice of Life",TV,"Jinnan Studio, Contents Seed",Asahi Production,10322.0,3691,34,14984.0,31870,46.12612479571259,spring,2016
High School Fleet,7.3,Action,TV,"Aniplex, Half H.P Studio, Asmik Ace, Graphinica, BS11, Contents Seed, Cromea, Akatsuki",Production IMS,2536.0,1899,872,43076.0,102672,58.77977765579312,spring,2016
Anime de Training! Ex,5.4,"Comedy, Sports",TV,"Earth Star Entertainment, F.M.F",Rising Force,11064.0,3650,29,12779.0,32434,44.174460908181715,fall,2015
Mysteria Friends,6.66,"Fantasy, Slice of Life",TV,"Asmik Ace, Cygames, Happinet",CygamesPictures,5535.0,1712,293,32990.0,118973,55.327230914362346,winter,2019
Sekko Boys,6.25,Comedy,TV,"Kadokawa Pictures Japan, Ultra Super Pictures",LIDENFILMS,7627.0,2845,81,22309.0,52291,50.94793136411049,winter,2016
Prince of Stride: Alternative,6.9,Sports,TV,Media Factory,Madhouse,4396.0,1287,626,78471.0,171581,64.01287661629722,winter,2016
"Three Leaves, Three Colors",7.1,"Comedy, Slice of Life",TV,"AT-X, DAX Production, Houbunsha, TOHO animation, RAY",Doga Kobo,3563.0,2603,124,21682.0,61665,51.90136143497019,spring,2016
Ajin: Demi-Human,7.4,"Action, Horror, Mystery, Supernatural",TV,"Mainichi Broadcasting System, Kodansha, KlockWorx, Sony Music Communications, TOHO animation, King Records",Polygon Pictures,2076.0,353,3099,287203.0,570133,77.18128605128614,winter,2016
All Out!!,7.05,Sports,TV,"Telecom Animation Film, Mainichi Broadcasting System, Kodansha, Asmik Ace, Sony Music Entertainment, TMS Music","Madhouse, TMS Entertainment",3742.0,1838,366,48313.0,108553,59.5491067601419,fall,2016
RIN-NE Season 2,7.15,"Comedy, Supernatural",TV,"Shogakukan-Shueisha Productions, NHK, Shogakukan",Brain's Base,3274.0,3568,34,13394.0,34138,47.33038029297298,spring,2016
Landlord is in Puberty!,6.53,"Comedy, Slice of Life",TV,"Genco, bilibili",Seven Arcs Pictures,6209.0,2924,42,24863.0,49799,52.41378223012753,winter,2016
Granblue Fantasy: The Animation,6.63,"Adventure, Fantasy",TV,"Aniplex, Tohokushinsha Film Corporation, Cygames",A-1 Pictures,5681.0,1160,306,71408.0,190877,62.72017044477379,spring,2017
Ace Attorney,6.5,"Comedy, Drama, Mystery",TV,"Aniplex, Yomiuri Telecasting, Capcom, Trinity Sound",A-1 Pictures,6391.0,1570,471,56505.0,132340,60.275245671534485,spring,2016
Monster Hunter Stories: Ride On,6.24,Fantasy,TV,"Dentsu, Fuji TV, Capcom, Fuji Creative",David Production,7685.0,5095,38,3533.0,15152,33.18605937657751,fall,2016
Dagashi Kashi,6.61,"Comedy, Gourmet",TV,"Pony Canyon, TBS, DAX Production, BS-TBS, Shogakukan, Lawson, RAY, U-NEXT, Nichion",feel.,5794.0,471,992,193566.0,441081,72.29431409678713,winter,2016
GATE Part 2,7.72,"Action, Adventure, Fantasy",TV,"Genco, Warner Bros. Japan, KlockWorx, Showgate, Bandai Namco Games",A-1 Pictures,1099.0,382,1850,326463.0,532017,78.8228539786239,winter,2016
March Comes In Like a Lion,8.38,"Drama, Slice of Life",TV,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Shaft,186.0,289,15123,270788.0,652813,77.81220248425007,fall,2016
JOKER 3rd Season,7.16,"Adventure, Comedy, Mystery",TV,"Vega Entertainment, Asatsu DK, Kids Station, Half H.P Studio, Tokyo MX",Shin-Ei Animation,3243.0,7967,15,2160.0,5073,29.77227348387311,spring,2016
