English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
Okko's Inn,7.5,"Award Winning, Comedy, Slice of Life, Supernatural",Movie,"TV Tokyo, Nihon Ad Systems, Kodansha, AT-X, GAGA, NADA Holdings, Aeon Entertainment","Madhouse, DLE",1721.0,4725,45,8503.0,18651,45.739359578799856
As Miss Beelzebub Likes.,7.23,"Comedy, Fantasy, Romance",TV,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, Q-Tec, ABC Animation, CA-Cygames Anime Fund",LIDENFILMS,2857.0,2032,317,35071.0,92460,58.485590603615826
High School DxD Hero Episode 0: Holiness Behind the Gym,6.93,"Action, Comedy, Romance, Ecchi",Special,"Genco, Movic, AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa, Bandai Namco Arts",Passione,4262.0,2063,154,47280.0,90547,60.852701624910544
UzaMaid!,6.88,"Comedy, Girls Love",TV,"AT-X, Sony Music Communications, Futabasha, Kadokawa Media House, NTT Plala, Kadokawa",Doga Kobo,4479.0,1753,181,49180.0,115514,61.14966928754913
Whited Nighttime,6.27,Romance,ONA,Tencent Penguin Pictures,Seven Stone Entertainment,7526.0,8538,19,700.0,4186,21.027687049619445
Isekai Cheat Magician,5.46,"Action, Adventure, Fantasy",TV,"AT-X, Kadokawa Media House, Kadokawa, Shufunotomo",Encourage Films,10894.0,724,504,161870.0,306674,70.01606008344059
Golden Travelogue Theater,6.37,Comedy,ONA,NBCUniversal Entertainment Japan,"W-Toon Studio, DMM.futureworks",7049.0,7524,5,1505.0,5786,28.24139880265518
Mobile Suit Gundam Narrative,6.52,"Action, Drama, Sci-Fi",Movie,"Sotsu, Shochiku",Sunrise,6224.0,4666,36,9511.0,19139,45.480809280084955
Aguu: Genius Dolls,5.4,"Action, Drama, Supernatural",TV,Tencent Animation & Comics,Studio Deen,11065.0,7009,6,2179.0,6931,30.133122292212786
The Promised Neverland,8.51,"Fantasy, Mystery, Sci-Fi, Suspense",TV,"Aniplex, Dentsu, Fuji TV, Shueisha, CA-Cygames Anime Fund",CloverWorks,122.0,37,32144,1221982.0,1866038,92.78127411652191
Shibuya Vernacular,6.07,Avant Garde,Special,"MAZRI, Audio Graphics Institute",CLAP,8522.0,9071,6,989.0,3442,23.919340560890323
Bloom Into You,7.9,"Drama, Girls Love, Romance",TV,"AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa",TROYCA,727.0,684,5966,133508.0,320828,71.64855491974612
The Journey Home,5.87,Adventure,TV,TMS Entertainment,"Studio W.Baba, P.I.C.S.",9436.0,13384,4,183.0,799,8.036432433841716
Tokyo Ghoul:re 2nd Season,6.43,"Action, Fantasy, Horror",TV,"Marvelous, Pierrot Plus, TC Entertainment, Shueisha",Pierrot,6720.0,192,2698,494458.0,829173,81.83804227889539
Ultramarine Magmell,6.1,"Action, Adventure, Fantasy",TV,"Shueisha, bilibili, Yomiuri TV Enterprise, FanFan Inc., Shun Produce",Pierrot Plus,8380.0,1426,169,70512.0,150507,63.36563585064632
"If My Favorite Pop Idol Made It to the Budokan, I Would Die",7.43,"Comedy, Girls Love",TV,"Pony Canyon, TBS, Movic, Tokuma Shoten",8bit,1973.0,3183,319,17814.0,42364,52.4822295005081
Theatre of Darkness: Yamishibai 6,6.17,"Avant Garde, Horror, Supernatural",TV,TV Tokyo,ILCA,8011.0,4491,5,9564.0,20800,45.02261337408323
Godzilla: The Planet Eater,6.22,"Action, Adventure, Sci-Fi",Movie,"Toho, TOHO animation",Polygon Pictures,7791.0,3678,35,19196.0,32090,51.530723494515556
The Orbital Children,6.85,"Adventure, Sci-Fi",ONA,Avex Pictures,Production +h.,4631.0,3518,114,14427.0,35227,49.78428992304234
"How clumsy you are, Miss Ueno.",6.57,Comedy,TV,Nippon Columbia,Lesprit,5996.0,1761,192,51454.0,114777,61.1413245172958
The Ones Within,6.87,"Comedy, Drama",TV,"Lantis, AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Muse Communication, Bandai Namco Arts, Bit Promotion",SILVER LINK.,4534.0,1633,577,53063.0,126721,61.8379933012673
The King's Avatar 2,7.92,Action,ONA,"Tencent Penguin Pictures, China Literature Limited, Colored Pencil Animation Japan",Colored Pencil Animation,697.0,1783,554,40900.0,112948,60.74718900740162
Fog Hill of Five Elements,7.82,"Action, Fantasy",ONA,bilibili,"Nice Boat Animation, Samsara Animation Studio",875.0,2891,336,16314.0,50565,52.14237997127064
Afterlost,5.47,"Action, Adventure, Drama, Fantasy, Mystery",TV,"Sotsu, Pony Canyon, KlockWorx, Tokyo MX, GREE, Akatsuki",Madhouse,10867.0,2519,54,19360.0,65378,50.42273665956557
Real Girl Season 2,7.67,Romance,TV,"VAP, Docomo Anime Store, DeNA, D.N. Dream Partners",Hoods Entertainment,1196.0,1237,1172,95862.0,179160,68.31676093554643
The Morose Mononokean II,7.57,"Comedy, Supernatural",TV,"Pierrot, VAP, Square Enix, AT-X, Nippon Columbia, Age Global Networks, Yomiuri TV Enterprise, Kanon Sound, RAY",Pierrot Plus,1481.0,2908,155,21085.0,50172,54.211331313898974
IDOLiSH7 Second BEAT!,8.14,Drama,TV,"Bandai Visual, Lantis, Bandai Namco Games",TROYCA,425.0,3868,376,9786.0,28951,47.79328256964726
Run with the Wind,8.39,"Drama, Sports",TV,"Movic, Nippon Television Network, TOHO animation, Toy's Factory, Cygames, Yomiuri Shimbun, MediaLink Entertainment Limited",Production I.G,177.0,788,5820,130556.0,285359,71.99779159577018
Pokémon: Mewtwo Strikes Back - Evolution,6.14,"Action, Adventure, Comedy, Fantasy",Movie,"TV Tokyo, Shogakukan-Shueisha Productions, Toho, Shogakukan, TOMY Company, JR East Marketing & Communications","OLM, OLM Digital, Sprite Animation Studios",8182.0,4149,9,13862.0,25029,48.404906045293835
Starlight Promises,6.69,"Drama, Sci-Fi",ONA,XFLAG,Yokohama Animation Lab,5417.0,6812,6,3603.0,7474,36.75494478142023
Stars Align,7.59,"Drama, Sports",TV,"TBS, Movic, Magic Capsule, flying DOG",8bit,1400.0,1152,2186,79922.0,192104,66.540562176767
Forest of Piano Second Season,7.42,Drama,TV,NHK,Gaina,1986.0,2948,83,22209.0,48533,54.5061114277507
Zombie Land Saga,7.51,"Award Winning, Comedy, Supernatural",TV,"Avex Pictures, Cygames, dugout",MAPPA,1687.0,439,3063,227950.0,470781,76.1211802453809
Magical Girl Spec-Ops Asuka,6.33,"Action, Drama",TV,Kadokawa,LIDENFILMS,7221.0,2202,131,26648.0,81123,54.721622454747816
Domestic Girlfriend,6.67,"Drama, Romance",TV,"Mainichi Broadcasting System, Kodansha, flying DOG, DMM pictures, Bit Promotion",Diomedéa,5490.0,257,5646,428624.0,710124,80.85699589399762
"So I'm a Spider, So What?",7.45,"Action, Adventure, Comedy, Fantasy, Mystery",TV,"Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, NTT Plala, Kadokawa",Millepensee,1864.0,530,4035,210482.0,401291,75.31087315910483
Aggretsuko (ONA) 2nd Season,7.74,Comedy,ONA,"Sanrio, Netflix",Fanworks,1032.0,1802,259,74767.0,111616,66.10557558649016
Violet Evergarden: The Movie,8.9,"Award Winning, Drama, Fantasy",Movie,"Shochiku, ABC Animation",Kyoto Animation,22.0,368,8184,239103.0,547686,78.13046379763074
Space Battleship Tiramisu Zwei,6.52,"Comedy, Sci-Fi, Slice of Life",TV,"Frontier Works, Nippon Columbia, Studio Mausu, Tokyo MX, Adores, Shinchosha, FuRyu, Exa International, NTT Plala, JY Animation",Gonzo,6254.0,6155,4,4172.0,9577,37.871255790113764
Golden Kamuy Season 2,8.24,"Action, Adventure",TV,"Magic Capsule, NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine",Geno Studio,304.0,1172,895,103461.0,189247,69.68318107911135
